,DBS1,DBS2,DBS3,DBS4,DBS5,DBS7,DBS8,DBS10,DBS11,DBS12,DBS13,DBS14,DBS15,DBS16,DBS17,DBS18,DBS19,DBS20,DBS21,DBS22,DBS23,DBS24,DBS25,DBS26,DBS27,DBS28,DBS29,DBS30,DBS31,DBS32,DBS33,DBS34,DBS35,DBS36,DBS37,DBS38,DBS39,DBS40,DBS41
Biliary.AdenoCA..SP99313,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.203013371613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99329,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99341,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99345,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP96136,0,0,0,0,0,0,0,0,78.0005836227949,0,103.999416377222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP953,0,0,0,0,0,0,0,0,71.0451438060232,0,51.9548561939885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP963,0,0,0,0,0,0,0,0,63.0372928644961,0,29.9627071355114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP975,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1003,0,0,0,0,0,0,0,0,0,0,89.0000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1009,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1059,0,0,0,0,0,0,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1086,0,0,0,0,0,0,0,0,0,0,73.0000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1114,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1132,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1144,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1174,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1305,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1365,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1377,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1419,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1491,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1677,0,0,0,0,0,0,0,0,0,0,90.0000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1724,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1781,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bone.Epith..SP116383,0,0,0,0,0,0,0,0,0,0,26.6866139846289,0,0,0,0,0,0,21.3133860153781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bone.Epith..SP116450,0,0,0,0,0,0,0,0,0,0,28.3545273586682,0,0,0,0,0,0,22.6454726413393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bone.Osteosarc..SP116431,0,0,0,0,0,0,0,0,0,0,21.682873862511,0,0,0,0,0,0,17.3171261374947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bone.Osteosarc..SP116456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bone.Osteosarc..SP116459,0,0,0,0,0,0,0,0,0,0,15.0112203663538,0,0,0,0,0,0,11.9887796336502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bone.Osteosarc..SP116469,0,0,0,0,0,0,0,0,0,0,26.6866139846289,0,0,0,0,0,0,21.3133860153781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bone.Osteosarc..SP116472,0,0,0,0,0,0,0,0,0,0,18.3470471144324,0,0,0,0,0,0,14.6529528855725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bone.Osteosarc..SP116478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bone.Osteosarc..SP116481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bone.Osteosarc..SP116490,0,0,0,0,0,0,0,0,0,0,13.8992781169942,0,0,0,0,0,0,11.1007218830095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bone.Osteosarc..SP116496,0,0,0,0,0,0,0,0,0,0,37.2500653535445,0,0,0,0,0,0,29.7499346464653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bone.Osteosarc..SP116509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bone.Osteosarc..SP116512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bone.Osteosarc..SP116518,0,0,0,0,0,0,0,0,0,0,45.5896322237411,0,0,0,0,0,0,36.410367776271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bone.Osteosarc..SP116520,0,0,0,0,0,0,0,0,0,0,19.4589893637919,0,0,0,0,0,0,15.5410106362132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bone.Osteosarc..SP116525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bone.Osteosarc..SP116528,0,0,0,0,0,0,0,0,0,0,13.8992781169942,0,0,0,0,0,0,11.1007218830095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bone.Osteosarc..SP116578,0,0,0,0,0,0,0,0,0,0,26.6866139846289,0,0,0,0,0,0,21.3133860153781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bone.Osteosarc..SP116582,0,0,0,0,0,0,0,0,0,0,17.7910759897526,0,0,0,0,0,0,14.2089240102521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bone.Osteosarc..SP116589,0,0,0,0,0,0,0,0,0,0,33.9142386054659,0,0,0,0,0,0,27.0857613945431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bone.Osteosarc..SP116593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bone.Osteosarc..SP116596,0,0,0,0,0,0,0,0,0,0,31.1343829820671,0,0,0,0,0,0,24.8656170179412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoftTissue.Liposarc..SP121761,0,0,0,0,0,0,0,0,0,0,26.1306428599491,0,0,0,0,0,0,20.8693571400578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoftTissue.Liposarc..SP121763,0,0,0,0,0,0,0,0,0,0,15.5671914910335,0,0,0,0,0,0,12.4328085089706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoftTissue.Liposarc..SP121774,0,0,0,0,0,0,0,0,0,0,34.4702097301457,0,0,0,0,0,0,27.5297902698634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoftTissue.Liposarc..SP121781,0,0,0,0,0,0,0,0,0,0,53.3732279692578,0,0,0,0,0,0,42.6267720307563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoftTissue.Liposarc..SP121783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoftTissue.Liposarc..SP121790,0,0,0,0,0,0,0,0,0,0,21.1269027378312,0,0,0,0,0,0,16.8730972621744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoftTissue.Liposarc..SP121811,0,0,0,0,0,0,0,0,0,0,17.2351048650728,0,0,0,0,0,0,13.7648951349317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoftTissue.Liposarc..SP121816,0,0,0,0,0,0,0,0,0,0,15.5671914910335,0,0,0,0,0,0,12.4328085089706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoftTissue.Liposarc..SP121828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoftTissue.Liposarc..SP121841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoftTissue.Liposarc..SP121847,0,0,0,0,0,0,0,0,0,0,28.3545273586682,0,0,0,0,0,0,22.6454726413393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoftTissue.Liposarc..SP121852,0,0,0,0,0,0,0,0,0,0,21.1269027378312,0,0,0,0,0,0,16.8730972621744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoftTissue.Liposarc..SP121859,0,0,0,0,0,0,0,0,0,0,17.2351048650728,0,0,0,0,0,0,13.7648951349317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoftTissue.Leiomyo..SP121865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoftTissue.Leiomyo..SP121870,0,0,0,0,0,0,0,0,0,0,13.8992781169942,0,0,0,0,0,0,11.1007218830095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoftTissue.Liposarc..SP122361,0,0,0,0,0,0,0,0,0,0,22.7948161118705,0,0,0,0,0,0,18.2051838881355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoftTissue.Leiomyo..SP122392,0,0,0,0,0,0,0,0,0,0,63.3807082134937,0,0,0,0,0,0,50.6192917865231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoftTissue.Leiomyo..SP122412,0,0,0,0,0,0,0,0,0,0,15.0112203663538,0,0,0,0,0,0,11.9887796336502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoftTissue.Leiomyo..SP122476,0,0,0,0,0,0,0,0,0,0,25.5746717352694,0,0,0,0,0,0,20.4253282647374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoftTissue.Leiomyo..SP122489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoftTissue.Leiomyo..SP122560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoftTissue.Leiomyo..SP122590,0,0,0,0,0,0,0,0,0,0,14.455249241674,0,0,0,0,0,0,11.5447507583298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoftTissue.Leiomyo..SP122634,0,0,0,0,0,0,0,0,0,0,17.2351048650728,0,0,0,0,0,0,13.7648951349317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoftTissue.Leiomyo..SP122676,0,0,0,0,0,0,0,0,0,0,23.3507872365503,0,0,0,0,0,0,18.6492127634559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoftTissue.Leiomyo..SP122702,0,0,0,0,0,0,0,0,0,0,23.9067583612301,0,0,0,0,0,0,19.0932416387763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoftTissue.Leiomyo..SP122714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoftTissue.Leiomyo..SP122725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoftTissue.Leiomyo..SP123010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP117011,0,0,0,0,0,0,0,0,33.6829915266381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP117078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP117162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP117344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.2776006056556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP117354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP117363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP117369,0,0,0,0,0,0,0,0,58.2752690175682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP117372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP117409,0,0,0,0,0,0,0,0,0,0,65.6646746390045,0,0,0,0,0,0,45.609927753877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP117538,0,0,0,0,0,0,0,0,0,0,42.4127761044609,0,0,0,0,0,0,77.4629339566075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP117598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP117614,0,0,0,0,0,0,0,0,0,0,47.2483358494632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP117629,0,0,0,0,0,0,0,0,0,0,64.9637813928076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP117710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP117785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP117834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP117887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.81860103356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP117901,0,0,0,0,0,0,0,0,0,0,33.5484680300467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP117919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.5100566010889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP117944,0,0,0,0,0,0,0,0,0,0,66.0224031453997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP118038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP118074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP124197,0,0,0,0,0,0,0,0,32.3467024204359,0,27.6694944748182,0,0,0,0,0,0,42.9838031047544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP124207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.DCIS..SP124201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.LobularCA..SP117470,0,0,0,0,0,0,0,0,0,0,87.5591175623444,0,0,0,0,0,0,47.9194469987007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP2144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP2145,0,0,0,0,0,0,0,0,0,0,25.3009905829307,0,0,0,0,0,0,39.8902503971906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP2146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP2147,0,0,0,0,0,0,0,0,0,0,53.0051515805322,0,0,0,0,0,0,60.6406684469336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP2153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.6784285842892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP2154,0,0,0,0,0,0,0,0,0,0,35.135816477811,0,0,0,0,0,0,78.6708702032791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP2155,0,0,0,0,0,0,0,0,0,0,67.7998987529443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP2158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP2349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP2357,0,0,0,0,0,0,0,0,0,0,67.1507326108399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.AdenoCA..SP2293,0,0,0,0,0,0,0,0,89.5003752220051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
